Month,Year,Type,Country,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species
Jan,2009,Unprovoked,Australia,Fingal Beach,Surfing,M,31,Left thigh severely bitten,N,09h00,White shark
Jan,2009,Unprovoked,New Zealand,Haumoana ,Swimming,M,49,Posterior thigh bitten,N,17h30,Sevengill shark
Dec,2008,,Australia,"Long Reef, north of Sydney",Kayaking,M,29,"No injury, shark struck kayak, catapulting him into the water",N,11h00,White shark
Dec,2008,Unprovoked,Australia,Port Kennedy Beach,Snorkeling,M,51,FATAL,Y,07h00,White shark
Dec,2008,,USA,"Dillon Beach, Marin County",Kayaking,M,,"No injury, shark struck paddle",N,15h00,White shark
Dec,2008,Provoked,South Africa,Plettenberg Bay,Fishing,M,15,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",N,20h00,Raggedtooth shark
Nov,2008,Unprovoked,Egypt,Elphinstone Reef,Scuba diving,F,,Lacerations to fingers,N,Morning,Whitetip shark
Nov,2008,Unprovoked,Philippines,"off Paoay, Ilocos Norte Province",Fishing,M,39,Torso & righ arm bitten FATAL,Y,10h00 -- 11h00,
Oct,2008,Provoked,Australia,"Oceanworld, Manley",Scuba diving,M,34,Small laceration to head from captive shark,N,17h20,Nurse shark
Oct,2008,Unprovoked,New Caledonia,,Spearfishing,M,24,Legs bitten,N,11h00,Lemon shark
Oct,2008,Provoked,Australia,Darwin,Fishing,M,50,Right leg injured by hook and hooked shark PROVOKED INCIDENT,N,,Reef shark
Oct,2008,Unprovoked,Australia,Lake Macquarie,Surfing,M,15,"No injury, board damaged",N,15h30,
Oct,2008,Unprovoked,USA,"Santa Rosa Beach, Walton County",Fishing,M,11,Lacerations,N,12h00,
Oct,2008,Unprovoked,Croatia,"Smokvina Bay, Vis Island",Spearfishing,M,43,Calf bitten,N,12h00,White shark
Sep,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,44,Small puncture wounds to the heel of left foot,N,11h45,
Sep,2008,Unprovoked,USA,Bethune Beach,Surfing,M,40,Right foot bitten,N,11h00,
Sep,2008,Provoked,Australia,Near Croker Island,Swimming,M,43,Right hand lacerated by netted shark PROVOKED INCIDENT,N,14h30,Whaler shark
Sep,2008,Unprovoked,USA,"Ormond-by-the-Sea, Volusia County",Swimming,M,32,Lacerations to foot,N,12h00,Juvenile shark
Sep,2008,Unprovoked,USA,"Ka'a'awa, Oahu",Surfing,M,40,Bitten on right thigh & calf,N,16h30,Tiger shark
Sep,2008,Unprovoked,USA,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,,"No injury to surfer, board bitten",N,10h30,White shark
Sep,2008,Unprovoked,Australia,"Clarks Beach, Byron Bay",Surfing,M,51,Shark became tangled in his surfboard leash. The surfer was not injured,N,12h00,
Sep,2008,Unprovoked,USA,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,43,Minor injury to foot,N,12h00,
Sep,2008,Unprovoked,USA,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,15,Minor injury to foot,N,12h00,
Sep,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,52,Shark bumped right ankle,N,10h00,
Aug,2008,,USA,"McKenzie Beach Park in Pahoa, Hawai'i ",Swimming,M,27,Death was probably due to drowning,,19h20,
Aug,2008,Provoked,England, Lundy Island,Fishing,M,52,Wrist bitten by hooked shark PROVOKED INCIDENT,N,,Blue shark
Aug,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,19,Superfical cut to left ankle,N,12h00,
Aug,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,26,Lacerations to lower left leg,N,11h00,
Aug,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",M,20,Minor injury to left foot,N,15h00,
Aug,2008,,USA,"Surf City, Topsail Island, Pender County",Surfing,F,20,Calf bitten,,18h00,
Aug,2008,Unprovoked,USA,"Sanibel Island, Lee County",Swimming,M,47,3 lacerations to forearm,N,14h45,
Aug,2008,Unprovoked,USA,Buck Island,Treading water,F,38,Severe lacerations to left foot,N,Dusk,Bull shark
Aug,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Wading,F,13,Puncture wounds & 3-inch laceration to right calf,N,12h05,
Aug,2008,Unprovoked,USA,"Ala Moana Beach Park, Oah'u",Diving,M,,"No injury, shark grabbed his bag of fish",N,14h00,Tiger shark
Jul,2008,Unprovoked,Australia,Levys Beach,Surfing,M,31,"No injury, surfboard leash severed",N,10h30,White shark
Jul,2008,Unprovoked,Panama,Playa Teta,Swimming or surfing,M,,5 lacerations to left foot,N,18h00,
Jul,2008,Unprovoked,USA,"Honokowai, Maui",Swimming,M,,Minor injury,N,15h30,Reef shark
Jul,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,17,Right foot bitten,N,09h00,
Jul,2008,Unprovoked,USA,"Lahilahi Point, Oahu",Snorkeling,F,44,Forearm bitten ,N,08h45,
Jul,2008,Unprovoked,USA,"Surf City, Topsail Island, Pender County",Wading,M,9,Minor lacerations to  toe,N,,
Jul,2008,Unprovoked,USA,"Topsail Island, Pender County",Wading,F,8,Lacerations to dorsum of right foot ,N,13h00,
Jul,2008,Provoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,15,Foot bitten after he stepped on the shark PROVOKED INCIDENT,N,14h30,
Jul,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Wading,M,16,Lacerations to lower left leg,N,13h55,
Jul,2008,Unprovoked,USA,"Isle of Palms, Charleston County",Surfing,M,24,Laceration to foream,N,14h00,
Jul,2008,Unprovoked,USA,"Emerald Isle, Carteret County",Swimming,F,14,Lacerations to  right foot,N,19h30,
Jun,2008,,USA,"Kamilo Point, Hawai'i",Wading,M,53,Probable drowning with post-mortem bites,,Afternoon,
Jun,2008,Unprovoked,Bahamas,,Spearfishing,M,42,Lacerations to calf,N,11h00,Bull shark
Jun,2008,Unprovoked,South Africa,Mossel Bay,Surf skiing ,M,46,"No injury, ski bitten",N,14h00,White shark
Jun,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,29,Minor laceration to foot,N,Afternoon,
Jun,2008,Unprovoked,USA,"Isle of Palms, Charleston County",Swimming,M,37,Lacerations to hand,N,11h15,
Jun,2008,,USA,"West Cove, Catalina Island",Kayaking,F,40," No injury. Shark bumped kayak, flinging her into the  water. ",N,09h00,White shark
Jun,2008,Unprovoked,USA,"Fernandina Beach, Nassau County",Wading,F,35,Lacerations to lower right calf,N,11h10,
Jun,2008,Unprovoked,USA,Cherry Grove,Body surfing,F,15,Foot bitten,N,18h30,
Jun,2008,Unprovoked,Brazil,"Piedade, Recife",Swimming,M,14,"Hand severed, buttocks bitten",N,15h00,Bull shark
May,2008,Unprovoked,USA,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,M,9,Biceps & lower arm bitten,N,15h50,
May,2008,Unprovoked,Mexico,Playa Linda,Surfing,M,49,Lacerations to right forearm and hand,N,Early morning,
May,2008,Unprovoked,Mexico,Pantla Beach,Surfing,M,21,FATAL,Y,,
May,2008,Unprovoked,Fiji,Turtle Island,Night diving,M,28,FATAL,Y,Night,
May,2008,Unprovoked,Australia,Albany,Swimming,M,37,Severe lacerations to left leg,N,07h30,White shark
May,2008,Unprovoked,New Caledonia,Hienghène,Fishing,M,40,Lower legs bitten,N,14h00,Bull shark
May,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Wading,M,6,2 inch laceration to left lower calf.,N,Just before noon,
Apr,2008,Unprovoked,Mexico,Troncones Beach,Surfing,M,24,FATAL    Severe bite to right thigh,Y,Afternoon,Tiger shark
Apr,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,18,3-inch laceration to dorsal surface of left foot,N,11h45,
Apr,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,24,Calf bitten,N,10h30,
Apr,2008,Unprovoked,New Caledonia,Poindimié,Swimming,M,32,Lacerations to left foot,N,Morning,Bull shark
Apr,2008,Provoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,21,Puncture wounds to right foot                  PROVOKED INCIDENT,N,09h50,
Apr,2008,Unprovoked,USA,"Solana Beach, San Diego County",Swimming,M,66,FATAL,Y,07h00,White shark
Apr,2008,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,14,Cuts & punctures to right foot,N,08h45,
Apr,2008,,Mexico,"Delfines Beach, Cancun",Swimming,M,32,Probable drowning with post-mortem bites,,Evening,
Apr,2008,,Australia,"Duranbah, Greenmount Beach",Surfing,M,19,2 puncture wounds to leg,,11h00,
Apr,2008,Unprovoked,USA,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,30,Puncture wounds to right foot,N,15h00,
Mar,2008,Unprovoked,USA,"Palm Beach Shores, Palm Beach County",Wading,M,15,Shin bitten,N,,
Apr,2008,Unprovoked,Australia,"Lighthouse Beach, Ballina",Body boarding,M,16,FATAL,Y,08h05,Bull shark
Apr,2008,Unprovoked,USA,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,18,Right foot & ankle bitten,N,12h00,
Mar,2008,Unprovoked,USA,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,M,52,Foot bitten,N,18h50,
Mar,2008,Unprovoked,USA,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,13,Three small lacerations/ punctures to right foot,N,11h30,
Mar,2008,Unprovoked,USA,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,M,14,Two 3-inch lacerations to right ankle,N,15h53,
Mar,2008,Unprovoked,USA,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,M,8,Minor injury,N,Afternoon,
Mar,2008,Unprovoked,USA," Huntington Beach, Orange County",Surfing,M,27,"No injury to surfer, surfboard bitten by the shark",N,08h00,White shark
Feb,2008,Unprovoked,Bahamas,"Dive site known as ""The End of the Map""",Diving,M,49,"Leg bitten, FATAL",Y,10h00,Bull shark
Feb,2008,Unprovoked,USA,"Ponce Inlet, Volusia County",Surfing,M,25,Lacerations to foot,N,17h00,
Feb,2008,Unprovoked,Australia,Horseshoe Bay,Surfing,F,14,Abrasions to elbow; collided with shark,N,,
Jan,2008,Unprovoked,South Africa,"Suncoast Pirates Beach, Durban",Surf-skiing,M,42,"No injury to surf-skiier, shark holed ski",N,,Blacktip shark
Jan,2008,Provoked,Australia,200 km east of Coolangatta  ,Accidentally stood on hooked shark's tail before attempting to gut it ,M,20,Laceration to left knee PROVOKED INCIDENT,N,07h30,Mako shark
Jan,2008,Unprovoked,USA,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,20,Left foot bitten,N,,Small shark
Dec,2007,Unprovoked,Ecuador,San Cristobal Island,Surfing,M,24,Lacerations & puncture wounds  to left thigh,N,,
Dec,2007,Unprovoked,Australia,Jimmy's Beach,Surfing,M,31,Severe lacerations to right buttock,N,11h00,
Dec,2007,Unprovoked,Australia,South Stradbroke Island,Swimming,M,,Lacerations to hand,N,,Small shark
Dec,2007,,Australia,Bondi ,Swimming,M,34,Lacerations to left forearm,,20h30,
Dec,2007,Unprovoked,USA,"Waialua Bay, O'ahu",Surfing,M,52,"No injury, shark bit surfboard ",N,"""Just before 11h00""",Tiger shark
Dec,2007,Unprovoked,Brazil,Itamaracá,Removing fish from a trap,M,28,20 cm injury to left foot,N,,
Nov,2007,Provoked,Australia,In a tidal creek    5 km from Wickham,Fishing,M,32,Minor injury to finger by netted shark PROVOKED INCIDENT,N,,Reef shark
Nov,2007,Unprovoked,South Africa,The Strand,Surfing,M,14,Lacerations to feet,N,17h30,
Nov,2007,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,21,Cut to right knee,N,11h115,
Nov,2007,Unprovoked,USA,"Round Island Park, Indian River County",Surfing,M,42,Lacerations to right leg,N,09h00,
Nov,2007,Unprovoked,South Africa,Bonza Bay,Surfing,M,37,Lacerations to thigh,N,08h45,White shark
Oct,2007,Unprovoked,USA,"Wailea, Maui",Floating,M,32,Lacerations to left lower leg,N,15h30,Tiger shark
Oct,2007,Unprovoked,Australia,Byron Bay,Surf-skiing,F,52,small laceration to wrist,N,11h30,White shark
Oct,2007,Unprovoked,Australia,Holmes Reef,Spearfishing,M,31,Laceration to calf,N,12h00,Whaler shark
Oct,2007,Unprovoked,USA,"Venice Pier, Venice, Los Angeles County",Surfing,M,22,4 scratches on left hand,N,20h30,
Oct,2007,Unprovoked,USA,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,16,Severe lacerations to right hand,N,08h10,Blacktip shark
Sep,2007,Unprovoked,New Caledonia,"Bay of Luengoni, Lifou Island",Swimming,F,23,FATAL,Y,Early morning,Tiger shark
Sep,2007,Unprovoked,Bahamas,Sweetings Cay,Spearfishing,F,48,Thigh bitten,N,12h00,Reef shark
Sep,2007,Unprovoked,USA,"Moonstone Beach, Humboldt County",Surfing,F,,"No injury to surfer, surfboard bitten",N,08h15,White shark
Sep,2007,Unprovoked,Egypt,Daedalus Reef ,Swimming,F,18,"Severe lacerations to lower left leg, ankle and foot",N,07h00,Whitetip shark
Sep,2007,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,23,Small lacerations to bottom of right big toe,N,18h20,
Sep,2007,Unprovoked,Solomon Islands,Kicha Island,Spearfishing,M,,Left thigh bitten,N,Dusk,Reef shark
Sep,2007,Unprovoked,USA,"New Smyrna Beach, Volusia County",Wading?,M,56,Laceration to right heel,N,11h15,
Sep,2007,Unprovoked,USA,"Flagler Beach, Flagler County",Surfing,F,,"No injury, surfboard bitten",N,Early morning,
Sep,2007,Unprovoked,USA,"Lauderdale-by-the-Sea, Broward County",Snorkeling,M,14,"Minor injury, shark latched onto his abdomen",N,16h00,Nurse shark
Sep,2007,Unprovoked,USA,"Pepper Park Beach, St. Lucie County",Wading,F,58,Puncture wounds & 2-inch laceration to calf,N,11h45,
Sep,2007,Unprovoked,USA,"Daytona Beach, Volusia County",Wading,F,36,Laceration to right big toe,N,13h42,
Sep,2007,Unprovoked,USA,Sullivan's Island,Standing,M,15,Lacerations to left calf and both feet ,N,18h30,
Sep,2007,Unprovoked,USA,"Daytona Beach, Volusia County",Jumping,F,12,Tiny punctures to arm,N,Morning,
Sep,2007,Unprovoked,USA,"Fort Lauderdale, Broward County",Swimming,M,58,"3"" laceration to left forearm",N,09h45,Spinner shark
Aug,2007,Unprovoked,USA,"Ka'a'awa, Oahu",Body boarding,M,15,Laceration to right heel,N,16h30,Tiger shark
Aug,2007,Unprovoked,USA,"Marina State Beach, Monterey County",Surfing,M,24,Lacerations to thigh & torso,N,10h45,White shark
Aug,2007,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,54,Left hand  bitten,N,14h00,
Aug,2007,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,27, 6 lacerations to left hand,N,Morning,
Aug,2007,Provoked,USA,"Indian River Inlet, Rehoboth Beach",Fishing,M,,Forearm bitten by hooked shark PROVOKED INCIDENT,N,19h45,Sandtiger shark
Aug,2007,Unprovoked,USA,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,M,52,Torso bitten,N,20h15,
Aug,2007,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,16,Foot bitten,N,12h39,
Aug,2007,Unprovoked,USA,"Lakewood Campground, Grand Strand, Horry County",Playing,M,7,Right calf bitten,N,10h00,
Aug,2007,Unprovoked,USA,Sarasota Bay,Floating near boat & observing bioluminesce,M,20,Puncture wounds to torso,N,Night,Bull shark
Aug,2007,Unprovoked,USA,"New Smyrna Beach, Volusia County",Swimming,F,15,"Minor injury, small lacerations to right foot",N,17h35,
Aug,2007,Unprovoked,USA,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,19,"Minor injury, lacerations to left ankle & foot ",N,18h00,
Aug,2007,Unprovoked,USA,"Isle of Palms, Charleston County",Swimming,M,30,Lacerations to right foot,N,16h40,
Aug,2007,Unprovoked,USA,"Isle of Palms, Charleston County",Boogie Boarding,M,9,Lacerations to lower leg & ankle,N,14h00,
Aug,2007,Unprovoked,USA,"Islamorada, Monroe County",Jumped into the water,F,19,Lacerations to arm,N,Afternoon,Bull shark
Jul,2007,Unprovoked,USA,"Ponce Inlet, Volusia County",Surfing,M,51,Minor injury to shoulder,N,Afternoon,
Jul,2007,Unprovoked,USA,"Imperial Beach, San Diego County",Surfing,M,20,"No injury, shark bit surfboard",N,23h00,
Jul,2007,,USA,"Bean Hollow State Beach, San Mateo County",Kayak Fishing,M,,"No injury, kayak bitten",N,10h15,White shark
Jul,2007,Unprovoked,USA,"Bellows Beach near Wailea Point, Oahu",Snorkeling,M,36,Left calf severely bitten,N,15h15,
Jul,2007,Unprovoked,Australia,Direction Island,Wading,M,15,Calf bitten,N,11h00,Whaler shark
Jul,2007,Unprovoked,USA,"North Topsail Beach, Onslow  County",Swimming,M,14,Right calf bitten,N,12h30,
Jul,2007,Provoked,Norway,Sjøstrand,Scuba diving,M,48,PROVOKED INCIDENT           No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm,N,,
Jul,2007,,USA,"Faria Beach, Ventura County",Swimming,F,43,Foot injured. Shark involvment uncomfirmed,,11h00,
Jul,2007,Unprovoked,USA,"Atlantic Beach, Carteret County",Wading,F,30,Lacerations to right thigh & left foot,N,13h00,
Jul,2007,Unprovoked,Bahamas,Allan-Pensacola Cay,Spearfishing,F,48,"Lacerations to thumb, ring and pinky fingers of right hand ",N,11h00,Bull shark
Jul,2007,Unprovoked,USA,"Ponce Inlet, Volusia County",Surfing,M,18,Right foot bitten,N,16h00,
Jul,2007,Unprovoked,Reunion,Boucan Canot,Body boarding,M,17,Minor injuries to thigh & knee ,N,14h30,
Jun,2007,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,20,6 to 8 puncture wounds to right hand,N,17h30,
Jun,2007,Unprovoked,USA,"Silva's Channel, Mokuleia, O'ahu",Surfing,M,,"No injury, board damaged",N,07h05,Tiger shark
Jun,2007,,USA,"Vilano Beach, St.  Johns County",Surfing,F,9,Superficial injuries to upper leg may have been caused by surfboard fin,,16h30,
Jun,2007,Unprovoked,USA,"Turtle Beach, Siesta Key, Sarasota County",Swimming,F,,Right foot bitten,N,11h00,
May,2007,Provoked,USA,"Virginia Aquarium & Marine Science Center, Virginia Beach ",Reviving a sedated shark,F,40,Left shin bitten by captive shark PROVOKED INCIDENT,N,Morning,Reef shark
May,2007,Provoked,England,Folkestone,Fishing,M,38,Bitten on the nose by a hooked shark PROVOKED INCIDENT,N,Afternoon,
May,2007,Unprovoked,Australia,"Warra Beach, Coral Bay",Wading,F,38,Left heel & calf bitten,N,14h30,
May,2007,Unprovoked,Australia,Warrnambool,Surfing,M,19,"No injury, shark's fin caught his leg",N,17h45,
May,2007,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,F,21,Knee bitten,N,16h00,
May,2007,,Australia,Kingscliff Beach,Swimming,M,45,Shark involvement prior to death unconfirmed,,12h15,
May,2007,Unprovoked,USA,"Keawakapu Beach, Maui",Snorkeling,F,63,Right foot bitten,N,08h30,Tiger shark
May,2007,Unprovoked,USA,Naples,Swimming,M,68,Circular bite on left thigh,N,08h30,
Apr,2007,Unprovoked,Australia,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,F,13,Lower leg & foot injured,N,18h00,Small shark
Apr,2007,Unprovoked,USA,"Hutchinson Island, St. Lucie County",Body boarding,M,12,Left foot bitten,N,12h30,Spinner shark
Apr,2007,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to left index finger & thumb ,N,17h00,
Apr,2007,Unprovoked,New Caledonia,Dumbéa,Surfing,M,26,Left foot bitten,N,16h00,Tiger shark
Apr,2007,Unprovoked,USA,"New Smyrna Beach, Volusia County",Playing on a sandbar,M,7,Lacerations & puncture wounds to right calf,N,13h05,
Mar,2007,Unprovoked,USA,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,M,27,Lacerations to right ankle ,N,14h20,
Mar,2007,Unprovoked,USA,Jupiter Inlet,Surfing,M,11,Punctures & lacerations to right calf & calf,N,Evening,
Mar,2007,Unprovoked,Australia,South Golden Beach,Surfing,F,42,Lacerations to 3 fingers of left hand ,N,10h00,
Mar,2007,Unprovoked,Australia,"Moore Park, north of Bundaberg",Swimming,F,59,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",N,15h30,
Mar,2007,Unprovoked,USA,"Tiger Shores Beach, Martin County",Surfing,M,29,Lacerations to right forearm & hand,N,13h00,
Mar,2007,Provoked,New Zealand,Penhryn Island,Spearfishing,M,16,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,N,,Tiger shark
Feb,2007,Unprovoked,Australia,Shelly Beach,Boogie Boarding,M,26,Lacerations to  lower left leg & ankle ,N,08h00,
Jan,2007,Unprovoked,New Caledonia,Kaala-Gomen ,Spearfishing (free diving),M,30,Leg bitten,N,14h00,Tiger shark
Jan,2007,Unprovoked,Australia,Cape Howe,Diving,M,41,Head & torso bitten,N,10h30,White shark
Jan,2007,Unprovoked,South Africa,"Second Beach, Port St. John's",Swimming / Body Surfing,M,24,"Presumed FATAL, body not recovered",Y,Afternoon,Tiger shark
Jan,2007,Unprovoked,Australia,Sandbar Beach,Surfing,M,,"No injury, shark damaged surfboard",N,06h30,
Jan,2007,,USA,"Smith Point, Long Island",Surfing,M,54,No injury,,14h00,
Jan,2007,Unprovoked,USA,"Majors Bay, Kaua'i",Surfing,M,24,"No injury, shark removed piece of surfboard",N,10h15,Tiger shark
Dec,2006,Unprovoked,Australia,"Winki Pop, Bells Beach",Surfing,M,25,Left leg bitten,N,20h00,
Dec,2006,Unprovoked,New Zealand,"Raglan, Manu Bay",Surfing,M,10,Foot bitten,N,11h00,
Dec,2006,Unprovoked,USA,"Dillon Beach, Marin County",Surfing,M,43,"Minor injuries, surfboard bitten",N,11h50,White shark
Dec,2006,Provoked,South Africa,Cape Vidal,Fishing,M,25,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N,"""Evening""",Raggedtooth shark
Dec,2006,Unprovoked,Australia,Wharton Beach,Body boarding,M,15,"Right leg severed, left leg lacerated",N,07h30,White shark
Nov,2006,Unprovoked,USA,"Kihei, Maui",Swimming,M,29,Laceration to left thigh & left hand,N,12h30,
Nov,2006,Provoked,South Africa,"Nahoon, East London",Canoeing,M,,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N,Afternoon,Bull shark
Oct,2006,Unprovoked,USA,"Siletz River mouth, Lincoln County",Surfing,M,22,"No injury, surfboard bitten",N,Just before sundown,White shark
Oct,2006,Unprovoked,USA,"Daytona Beach, Volusia County",Surfing,M,20,Left ankle bitten,N,11h30,
Oct,2006,Unprovoked,USA,"New Smyrna Beach, Volusia County",Playing soccer in the water,M,18,Lacerations to foot,N,12h00,
Sep,2006,Unprovoked,USA,Onslow Beach,Surfing,M,16,Laceration to left thigh,N,Morning,
Sep,2006,Unprovoked,USA,"Singer Island, Riviera Beach",Swimming,M,55,Minor injury to left hand,N,14h00,Spinner shark
Sep,2006,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,52,Left torso grazed,N,,
Sep,2006,,Australia,Great Barrier Reef  ,Diving,M,44,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",,11h00,
Sep,2006,Unprovoked,USA,"New Smyrna Beach, Volusia County",Standing,M,33,Puncture wounds and cuts to right thigh,N,17h30,
Sep,2006,Unprovoked,USA,"New Smyrna Beach, Volusia County",Swimming,M,12,Arm bitten,N,17h55,
Sep,2006,Unprovoked,South Africa,Noordhoek,Surfing,M,37,"No injury, shark rammed surfboard",N,,White shark
Aug,2006,Unprovoked,USA,"Florence, Lane County",Surfing,M,23,Laceration & puncture wounds to foot,N,Sunset,
Aug,2006,Unprovoked,Australia,"Pennington Bay, Kangaroo Island",Surfing,M,,"No injury, shark towed  surfer & board",N,16h00,Whaler shark
Aug,2006,Unprovoked,Reunion,"Les Aigrettes, near Boucan-Canot",Body boarding,M,27,Laceration to right calf & heel,N,18h00,
Aug,2006,Unprovoked,Reunion,Pointe du Diable,Surfing,M,34,FATAL,Y,11h00,
Aug,2006,Unprovoked,South Africa,"Sunrise Beach, Muizenberg",Lifesaving drill,M,24,Foot severed,N,11h00,White shark
Jul,2006,Unprovoked,USA,Oswald State Park,Surfing,M,41,Minor injury,N,16h00,White shark
Jul,2006,,USA,"Broad Beach, Malibu, Los Angeles County",Boogie Boarding,M,,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",N,Afternoon,Mako shark
Jul,2006,Unprovoked,South Africa,Fish Hoek,Surf-skiing,M,19,"No injury, surf ski bitten",N,16h30,White shark
Jul,2006,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,14,Minor lacerations to right foot,N,13h45,
Jul,2006,Unprovoked,USA,"Singleton Beach, Hilton Head Island, Beaufort County",Standing,M,49,Left ankle & foot bitten,N,10h00,Angel shark
Jul,2006,Unprovoked,USA,"Kiawah Island, Charleston County",Swimming,F,21,Ankle & foot bitten,N,13h30,
Jul,2006,Unprovoked,USA,"New Smyrna Beach, Volusia County",Wading,M,40,Dorsum of left foot bitten,N,17h00,
Jul,2006,Unprovoked,USA,"Ponte Vedra Beach, St Johns County",Walking,M,11,Lower leg & ankle bitten,N,13h00,
Jul,2006,Unprovoked,USA,"Debordieu Beach, Georgetown County",Body boarding,F,14,Foot bitten,N,11h00,Bull shark
Jul,2006,Unprovoked,USA,"Playalinda Beach, Canaveral National Seashore, Brevard County",Swimming,M,13,Right calf bitten,N,13h00,
Jun,2006,Unprovoked,USA,"Hutchinson Island, St. Lucie County",Body boarding,F,9,Right calf bitten,N,11h10,
Jun,2006,Unprovoked,Bahamas,Mangrove Cay,Spearfishing,M,25,Right arm severely bitten,N,13h00,
Jun,2006,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,F,22,2-inch puncture wounds on right foot,N,13h00,Spinner shark
Jun,2006,Unprovoked,Brazil,"Punta Del Chifre Beach, Olinda",Body boarding,M,27,Left thigh bitten FATAL,Y,09h00,
Jun,2006,Unprovoked,USA,"Monterey, Monterey County",Scuba diving,M,43,"No injury, shark bit scuba tank boot",N,11h10,
Jun,2006,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,24,Four 1-inch puncture wounds on left foot ,N,15h30,
Jun,2006,Unprovoked,USA,"Coligny Beach, Hilton Head, Beaufort County",Playing,F,7,Lacerations & puncture wounds to left foot & buttocks,N,13h45,
Jun,2006,Unprovoked,Australia,Waitpinga,Surfing,M,40,"No injury, knocked off surfboard",N,11h30,White shark
May,2006,Unprovoked,USA,O'ahu,Spearfishing,M,26,"4"" laceration to left forearm",N,13h30,Tiger shark
May,2006,Unprovoked,USA,"North Shore, O'ahu",Surfing,M,31,"No injury, shark bumped surfboard",N,16h00,
May,2006,Provoked,USA,Lanai,Spearfishing,M,15,Knee bitten after diver poked shark PROVOKED INCIDENT,N,16h30,Reef shark
May,2006,Unprovoked,Brazil,"Boa Viagem Beach, Recife",Surfing,M,33,"Injuries to left thigh, calf & foot",N,11h30,
May,2006,Unprovoked,USA,Gun Beach,Scuba diving,F,30,Laceration to leg,N,15h30,Tiger shark
May,2006,Unprovoked,USA,"Hutchinson Island, St. Lucie County",Swimming,F,20,2 lacerations on lower right leg,N,16h30,
May,2006,Provoked,Australia,"Moffat Beach, Caloundra",Snorkeling,M,46,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N,16h30,Wobbegong shark
